Aranan Yemek,Ürün Adı,Restoran Adı,Fiyat (₺),Kategori,Tarih
margarita pizza,Margarita Pizza (Orta Boy),Pasaport Pizza (Bahçelievler),224.9,ucuz,2025-09-18T14:27:52.728Z
margarita pizza,Küçük Boy Margarita Pizza (25 cm.),Sbarro (Eskibağlar),225,ucuz,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (Küçük),Gala Pizza (Şirintepe),239,ucuz,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (Küçük),PizzaLazza (Akarbaşı),240,ucuz,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (Küçük Boy),La Casade Pizza (Şirintepe),241.49,ucuz,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (26 cm.) (Küçük),Tetris Pizza (Cumhuriye),252,orta,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (Orta Boy),La Casade Pizza (Şirintepe),270.67,orta,2025-09-18T14:27:52.728Z
margarita pizza,Orjin Margarita Pizza Orta,Orjin Bites (Yenibağlar),275,orta,2025-09-18T14:27:52.728Z
margarita pizza,Orjin Margarita Pizza Orta,Orjin Bites (Yenibağlar),275,orta,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza ( Orta Boy ),Hot Express Pizza (Uluönder),290,orta,2025-09-18T14:27:52.728Z
margarita pizza,Pizza Margarita,Mabelle Cafe & Lounge (Yenibağlar),300,orta,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (Orta),Gala Pizza (Şirintepe),319,orta,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (Orta),Gala Pizza (Şirintepe),319,orta,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (Büyük),Gala Pizza (Şirintepe),399,pahalı,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (32 cm.) (Orta),Tetris Pizza (Cumhuriye),400,pahalı,2025-09-18T14:27:52.728Z
margarita pizza,Margarita Pizza (3 KİŞİLİK),Margarita Pizza (Çamlıca),590,pahalı,2025-09-18T14:27:52.728Z
